店铺名,ItemID,货号,尺码,价格
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,13 Men,978.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,14 Men,1002.0
mxcltd,365477904510,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,9 Men,581.0
mxcltd,365477904510,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,9.5 Men,687.0
mxcltd,365477904510,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,8.5 Men,581.0
mxcltd,365477904510,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,7 Men,600.0
mxcltd,365477904510,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,4.5 Men,390.0
mxcltd,365477904510,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,3.5 Men,385.0
mxcltd,365477904510,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,4 Men,374.0
mxcltd,365477904510,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,5.5 Men,563.0
mxcltd,365477904510,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,5 Men,445.0
mxcltd,365477904510,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,6.5 Men,673.0
mxcltd,365477904510,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,7.5 Men,565.0
mxcltd,365477904510,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,8 Men,530.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,3.5M/5W,384.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,4M/5.5W,377.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,4.5M/6W,413.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,5M/6.5W,481.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,5.5M/7W,607.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,6M/7.5W,863.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,6.5M/8W,736.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,7M/8.5W,650.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,7.5M/9W,616.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,8M/9.5W,577.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,8.5M/10W,634.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,9M/10.5W,634.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,9.5M/11W,738.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,10M/11.5W,761.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,10.5M/12W,795.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,11M/12.5W,850.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,11.5M/13W,918.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,12M/13.5W,1111.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,13M/14.5W,915.0
yuejiesport,397001734842,Air Jordan 4 Retro Og Sp Firewood Orange HF4340-800,14M/15.5W,938.0
mxcltd2,317127152183,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,3.5 Men,371.0
mxcltd2,317127152183,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,4.5 Men,376.0
mxcltd2,317127152183,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,4 Men,360.0
mxcltd2,317127152183,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,5 Men,430.0
mxcltd2,317127152183,Nigel Sylvester x Air Jordan 4 Retro OG SP Bike Air - HF4340-800,8 Men,511.0
hemeisport,356670749707,Nigel Sylvester x Air Jordan 4 OG SP 'Brick By Brick' Basketball Men HF4340-800-,4.5Men,413.0
hemeisport,356670749707,Nigel Sylvester x Air Jordan 4 OG SP 'Brick By Brick' Basketball Men HF4340-800-,5 Men,481.0
